ID_REF	DESCRIPTION	GSM637872	GSM637873	GSM637874	GSM637875	GSM637876	GSM637877
7892501		7.263108	7.139234	7.783249	7.578142	5.843154	4.442903
7892502		6.002348	6.279274	6.792088	6.411549	7.568158	7.072715
7892503		4.23279	4.05273	4.190715	4.054729	4.572101	4.058358
7892504		9.794945	9.85147	10.21296	10.5086	9.963998	9.419183
7892505		4.962657	3.915596	3.860583	3.906201	3.786427	3.37607
7892506		5.708483	5.85725	6.401003	5.811141	6.100382	5.744248
7892507		5.767626	5.038759	4.452401	4.475949	5.076222	4.345627
7892508		6.336331	5.954012	6.353615	5.621078	5.931919	5.770946
7892509		13.04137	12.90717	13.00879	12.97416	12.68978	12.83322
7892510		5.586276	3.59005	5.103654	4.58533	4.332521	3.862638
7892511		4.41841	4.293302	4.248712	3.953296	4.180219	4.750263
7892512		7.544521	7.546755	7.56255	7.90347	7.917678	7.998707
7892513		3.467417	3.529831	4.10175	3.055199	4.877986	4.505892
7892514		11.48178	12.14007	12.17496	12.52256	12.11739	11.63529
7892515		9.105691	9.377264	9.00738	9.028701	9.6955	9.168372
7892516		6.763994	6.947187	7.470925	6.813592	6.708729	6.3449
7892517		5.282902	5.475201	6.240787	5.696423	5.96237	5.605732
7892518		3.823446	3.658128	3.85998	4.169442	3.914647	4.155222
7892519		8.322312	8.190963	7.28653	7.999296	7.575458	8.008204
7892520		9.868374	10.05634	10.2002	10.25822	9.919302	9.762729
7892521		7.74236	7.208699	8.06496	7.916919	7.318645	8.028421
7892522		6.48707	6.364158	6.472256	6.821782	6.517111	6.894052
7892524		6.65219	5.941882	6.446385	6.494002	7.192391	7.0445
7892525		6.087359	5.880325	6.325925	6.590501	6.185022	6.443584
7892526		7.962981	8.265546	8.880584	9.26494	8.167685	8.567776
7892527		10.4831	10.84289	10.88912	9.946851	10.47439	10.83051
7892528		2.756639	2.861722	2.769885	2.916156	2.975496	3.040326
7892529		5.805169	5.975524	5.642577	5.871811	6.694774	6.076831
7892530		11.4655	11.83612	10.77682	10.45726	11.17809	10.78099
7892531		6.951495	7.776445	7.845434	6.969749	6.638016	6.767705
7892532		3.573487	4.114522	3.884133	4.781706	6.128226	4.977692
7892533		7.598603	8.239471	7.435939	8.241514	8.060181	7.951719
7892534		4.666482	4.540053	4.990977	4.132893	4.803555	5.688965
7892535		6.648522	6.156359	7.374958	7.276037	7.147957	6.815796
7892536		11.29462	11.39172	11.46366	11.59259	11.66338	11.73808
7892537		4.871223	4.72982	4.402857	5.565777	4.905442	4.801359
7892538		5.579855	5.6073	5.932432	5.599313	5.439529	6.410003
7892539		5.250637	5.260897	5.64367	5.673999	5.84621	4.872757
7892540		5.882001	6.779178	6.139119	7.0433	6.842498	5.524677
7892541		10.16311	10.74107	10.85286	10.81251	10.79421	10.86077
7892542		9.341825	9.045706	10.08044	9.987018	9.53001	9.897973
7892543		5.960504	6.272858	6.307199	5.841547	6.570757	5.912896
7892544		5.678399	5.703489	5.837596	5.869853	5.928042	6.262562
7892545		5.818834	6.499533	6.131464	6.396448	6.937176	6.138531
7892547		6.611403	4.751994	5.662179	5.586543	5.430841	5.356755
7892548		6.855789	7.066702	7.779349	7.680081	7.184086	7.835725
7892549		9.747489	9.225606	9.73254	8.487514	9.345445	9.499038
7892550		8.335935	8.610382	7.770285	7.916869	8.797251	9.022093
7892551		10.68328	10.8191	11.04503	11.24759	11.09096	10.94712
7892552		6.142969	4.807535	6.044867	6.1546	5.380623	5.790491
7892553		3.846506	4.519901	5.680883	5.634152	4.704751	4.288373
7892554		5.522513	5.036562	3.986959	4.824249	4.866219	5.502082
7892555		6.642675	5.00504	6.608176	5.865059	6.656708	5.797627
7892556		13.86356	13.89722	13.74854	13.68187	13.81439	14.05297
7892557		3.556623	3.446314	3.07691	2.852534	3.843083	4.166854
7892558		5.005939	4.613094	4.605338	4.669364	5.182451	5.498528
7892559		8.545861	8.308111	8.043546	7.880989	8.223906	7.710056
7892560		5.361436	5.450887	5.531057	4.318628	5.845955	5.515168
7892561		9.860372	9.784909	10.91868	10.67166	10.52026	10.77434
7892562		10.37076	10.26499	10.15962	10.02574	10.21376	10.21038
7892563		7.503771	7.447761	8.061713	7.708591	8.094995	7.785139
7892564		11.39877	11.37621	11.47133	11.3231	11.43285	11.33354
7892565		8.045348	8.002351	8.743936	8.197897	8.422442	8.444186
7892566		3.553249	3.487913	3.48816	4.267102	3.554071	3.885651
7892567		5.525934	5.160982	5.268294	4.186601	5.11178	6.137094
7892568		11.72428	11.54509	11.60739	11.55045	11.59828	11.7297
7892569		9.201505	9.245495	8.591153	8.314244	8.612665	8.695642
7892570		9.102716	9.244957	9.644464	10.01917	9.226833	9.602396
7892571		2.639981	2.492809	2.504808	2.768264	2.567611	2.60052
7892572		8.818552	8.829957	8.313974	8.044343	8.546215	8.200443
