"ID_REF"	"GSM3753011"	"GSM3753012"	"GSM3753013"	"GSM3753014"	"GSM3753015"	"GSM3753016"
"1007_s_at"	228.47812	236.91348	245.23308	220.6578	230.49472	252.20569
"1053_at"	603.904	583.34	609.7449	633.1553	621.9883	701.75214
"117_at"	49.329758	48.473183	49.95234	53.17712	48.209488	48.08369
"121_at"	224.75986	237.95117	259.49393	238.271	228.98956	251.94032
"1255_g_at"	6.742224	7.0401263	6.141957	6.240999	6.7527504	6.6015716
"1294_at"	55.863514	54.239193	62.39312	62.453857	55.905445	67.25357
"1316_at"	97.736115	120.26112	109.992905	105.778015	108.73897	103.01583
"1320_at"	27.595383	25.234144	20.809288	26.425255	22.533365	26.930058
"1405_i_at"	6.147278	7.7134676	7.757806	7.647342	8.417482	7.2581973
"1431_at"	16.06939	15.331041	19.493061	16.891327	13.98867	21.235916
"1438_at"	59.529114	58.78929	56.230858	59.270554	57.68397	59.606983
"1487_at"	331.2918	305.28787	328.61127	348.65878	288.16086	311.51263
"1494_f_at"	59.17499	68.08562	69.01439	63.57104	60.10656	61.256718
"1552256_a_at"	954.60297	825.4873	696.00604	878.5812	860.8133	659.00574
"1552257_a_at"	1362.5605	1082.629	1110.415	1098.7223	1039.8905	918.2098
"1552258_at"	19.560362	22.483566	21.165577	19.373772	19.320255	18.82311
"1552261_at"	24.286934	28.060581	28.623299	27.698988	28.56645	27.319897
"1552263_at"	102.18031	84.00138	86.1037	102.52202	83.00061	91.78011
"1552264_a_at"	365.086	344.9897	268.85995	351.2525	337.5252	293.3959
"1552266_at"	6.931648	5.9524927	5.960733	5.478103	5.604665	5.646682
"1552269_at"	17.824436	20.214104	18.85134	19.84914	19.6614	15.531142
"1552271_at"	64.904495	64.20738	57.60475	65.03506	65.795845	56.292465
"1552272_a_at"	50.918983	54.24307	59.9946	57.581852	59.7092	65.35215
"1552274_at"	172.18344	161.59602	125.52931	147.78079	164.55394	128.61517
"1552275_s_at"	194.45467	182.75961	166.8444	160.57135	150.26277	162.98035
"1552276_a_at"	65.783585	74.2421	68.57076	75.62878	71.31118	60.582806
"1552277_a_at"	855.4414	782.4954	812.9542	825.58276	781.161	801.6553
"1552278_a_at"	54.59636	56.029327	37.610218	51.11786	52.260975	47.980614
"1552279_a_at"	172.39055	190.26143	190.49336	168.30827	172.36821	158.7715
"1552280_at"	10.982552	10.107328	11.964036	13.011505	10.532735	11.544851
"1552281_at"	85.39155	89.77368	89.45111	87.000465	96.48398	97.98866
"1552283_s_at"	15.432014	26.693882	20.531904	22.468374	20.531904	23.514288
"1552286_at"	215.97118	195.78711	151.29305	200.33919	196.24347	174.74763
"1552287_s_at"	224.896	321.5602	302.71304	217.60362	371.90363	313.5312
"1552288_at"	12.175072	13.285473	12.094575	14.334275	17.282207	14.014009
"1552289_a_at"	20.625202	25.166195	21.115051	22.937294	25.894596	23.48635
"1552291_at"	157.08759	135.6849	131.52678	146.81407	164.70145	147.0738
"1552293_at"	35.860252	36.332577	26.040726	32.190712	37.224674	33.127594
"1552295_a_at"	154.62944	149.27867	146.0921	136.97142	153.68515	161.91472
"1552296_at"	12.606659	11.872797	10.452278	9.610991	11.159469	11.159469
"1552299_at"	37.064827	39.266422	40.06131	42.85021	36.55236	39.62804
"1552301_a_at"	41.2514	47.997997	51.044907	46.81261	50.369152	54.175213
"1552302_at"	4.966872	4.722084	5.385235	5.0799913	4.8763814	4.8273087
"1552303_a_at"	43.326595	40.44955	39.14309	44.271885	45.13069	39.812244
"1552304_at"	177.04529	138.7417	112.050835	155.35025	147.97693	118.75754
"1552306_at"	168.2531	135.86418	108.46136	166.45619	134.27083	125.802986
"1552307_a_at"	41.6681	44.793785	31.471708	48.587486	40.941082	34.17862
"1552309_a_at"	111.051125	171.88156	122.13485	130.24039	242.36261	168.23141
"1552310_at"	264.29987	245.50986	284.433	278.9523	256.4229	311.0437
"1552311_a_at"	118.83073	112.20698	126.69457	122.73964	124.74941	115.16032
"1552312_a_at"	113.82711	111.6677	68.41944	114.98274	98.83128	91.28378
"1552314_a_at"	45.944813	43.38896	41.47055	46.882893	38.678116	37.828026
"1552315_at"	30.511396	30.79245	30.508755	28.26044	29.822342	28.114704
"1552316_a_at"	7.6198993	7.3422494	7.145547	7.6791525	7.579411	6.969188
"1552318_at"	8.533827	8.263192	8.311452	8.402421	11.1159115	7.7783084
"1552319_a_at"	17.111975	16.681404	18.160309	16.332525	17.538054	17.894026
"1552320_a_at"	6.8715787	7.5417876	6.6003895	6.8591166	6.482513	6.8054833
"1552321_a_at"	10.605637	12.979435	9.534396	10.065269	13.083713	9.811686
"1552322_at"	9.659485	10.374427	8.81113	8.40242	9.884318	9.099344
"1552323_s_at"	52.08486	57.1009	54.57399	48.5709	52.91868	50.211708
"1552325_at"	5.342185	4.57818	4.486563	6.086208	4.753903	5.0573387
"1552326_a_at"	13.581299	19.787737	15.949286	14.276395	16.428907	17.568924
"1552327_at"	6.9212174	6.910054	6.8946857	7.254547	6.592267	6.6147203
"1552329_at"	480.75873	447.20084	431.97375	422.63727	460.0439	545.84375
"1552330_at"	115.10407	150.57494	86.70986	84.5243	135.38539	94.605415
"1552332_at"	144.8848	144.4083	169.23102	134.95169	147.28526	151.24734
"1552334_at"	46.367416	36.023666	52.385197	45.582916	33.171936	52.96507
"1552335_at"	54.800434	54.06894	65.20884	61.16293	61.29844	68.46817
"1552337_s_at"	262.32986	352.46265	674.38184	301.33884	308.30432	486.28757
"1552338_at"	24.607872	28.914183	29.541794	25.618242	19.600098	21.37504
"1552340_at"	26.706387	30.667704	30.347712	26.120903	32.69752	24.264893
"1552343_s_at"	30.463673	20.351788	30.98221	29.655794	28.357395	28.905163
"1552344_s_at"	268.5124	247.41554	218.75937	272.38766	230.97159	232.49438
"1552347_at"	137.84581	155.4463	180.38725	127.08956	143.17165	208.28952
"1552348_at"	34.978325	39.991512	44.614216	33.084812	38.118538	38.37058
"1552349_a_at"	32.092636	35.450188	28.20893	30.059618	34.191116	32.99813
"1552354_at"	28.815516	23.912117	20.097368	20.360373	20.285074	22.717596
"1552355_s_at"	43.313995	55.95693	56.115673	53.81241	50.658455	51.190765
"1552359_at"	6.454652	7.1802115	6.021794	6.485491	5.88699	5.5310416
"1552360_a_at"	48.459328	31.022993	46.105713	52.00231	32.35565	61.275692
"1552362_a_at"	69.16917	74.895226	68.097435	96.98146	90.97331	84.02673
"1552364_s_at"	164.54007	175.5472	126.80295	172.39487	159.21281	131.96841
"1552365_at"	8.052438	9.260374	5.26027	6.431655	6.1083527	5.064153
"1552367_a_at"	12.593372	18.847452	10.332738	11.188366	10.513912	11.178229
"1552368_at"	7.1977897	7.9538217	6.5593762	7.9664264	7.2898664	6.9968715
"1552370_at"	133.57616	131.05214	134.24896	124.00178	108.2716	154.1056
"1552372_at"	5.72712	5.355901	4.4112644	4.151684	4.713667	3.9706407
"1552373_s_at"	5.557235	5.676824	6.6051826	6.249068	5.5056167	5.87633
"1552375_at"	9.340018	8.284282	9.200515	6.476765	9.705258	9.402614
"1552377_s_at"	121.509384	128.29826	121.74898	123.94822	128.3601	122.881546
"1552378_s_at"	35.3065	38.0436	29.589619	39.80364	41.518936	36.544037
"1552379_at"	4.713912	4.87148	4.145521	5.116881	5.067146	4.2438765
"1552381_at"	14.525886	13.917667	15.107144	15.528381	12.143047	15.1370735
"1552383_at"	48.805023	47.32027	52.30931	55.53437	50.834064	52.404522
"1552384_a_at"	31.721228	36.271587	37.938286	36.949657	34.77741	34.409428
"1552386_at"	6.205631	5.915889	5.842466	5.1994443	5.8327284	5.5634003
"1552388_at"	74.688416	64.7413	81.90896	84.56798	71.99147	73.95913
"1552389_at"	13.298562	6.4339414	11.405297	15.493207	10.513912	17.855387
"1552390_a_at"	20.354269	14.116599	29.604565	40.367012	17.705114	48.617443
"1552391_at"	19.246227	23.523157	19.733725	21.21853	22.16089	19.014627
"1552393_at"	5.230199	5.5997744	5.1650662	5.8207936	5.8164225	4.5521803
"1552394_a_at"	6.07032	5.8204265	5.0339212	5.176553	5.3273473	5.3841643
"1552395_at"	166.3516	181.42555	154.08334	149.74223	183.58273	174.0267
"1552396_at"	20.39464	21.038555	20.52949	16.14051	22.190165	20.972633
"1552398_a_at"	6.530761	7.0143385	6.632984	6.3824778	5.7945385	6.858924
